ID,VAR1,VAR2,VAR3,OUTCOME
28677,28,1,0,0
27170,59,1,0,1
39245,65,1,0,1
31880,19,1,0,0
41441,24,1,0,1
31070,77,1,5.08333,1
39334,63,1,0,1
27500,24,2,0,0
28287,22,1,0,1
38348,23,2,0,1
38278,52,2,8.78333,1
28177,58,2,0,1
29330,38,1,5.91667,1
39690,88,1,0,0
31680,42,1,0,0
44617,72,1,0,1
31598,72,2,0,1
27123,86,1,188.883,1
44512,37,1,0,0
31622,32,1,0,0
40471,31,1,0,1
35697,37,1,0,1
36916,32,1,184.3,1
28728,43,1,0,1
38301,81,1,0,0
44517,19,1,0,0
44509,77,1,0,1
36715,49,1,3.41667,1
37176,45,1,8.93333,0
36921,27,1,12.4833,0
40208,42,2,0,0
37066,61,1,386.267,1
43402,64,2,1.5,1
34535,64,2,29.3667,0
31463,44,1,0,0
40938,34,1,0,0
31502,61,1,0,1
28313,24,1,0,1
36083,43,1,96.4333,1
36827,22,1,0,1
36051,69,1,0,1
38721,54,1,3,1
44357,85,1,0,1
39013,39,2,0,0
35745,25,2,0,1
34280,37,1,611.267,0
29840,31,1,0,1
36836,61,2,4.85,1
28235,28,1,0,0
43936,60,1,0,0
35883,66,1,1018.4,0
36794,77,1,55.45,1
37103,59,5,0,0
30994,75,1,256.267,0
43255,23,1,0,0
35106,43,1,0,1
30701,58,3,0,1
27217,18,1,2,0
36069,36,1,0,1
38913,42,1,0,0
41670,57,1,4.26667,0
44000,76,2,0,1
36231,61,1,0,1
35007,40,1,0,0
27042,36,1,0,1
35115,29,1,0,1
28100,32,1,0,1
27600,20,2,0,1
42847,43,1,0,0
33839,22,1,0,1
34274,60,2,0,0
29615,42,1,0,1
41297,23,1,0,0
26380,29,1,0,0
33889,31,2,0,1
30618,45,1,0,0
38215,34,1,0,1
32259,42,1,0,1
31721,55,2,7.73333,0
36810,31,1,0,0
36040,68,1,8.33333,0
43050,41,1,0,1
37409,37,2,0,1
36917,19,1,0,0
42541,31,1,0,1
28655,53,2,0,1
39251,60,3,0,0
36214,67,1,474.15,0
26888,29,1,0,1
27964,80,2,153.933,1
32305,81,1,0,1
39340,80,2,480.933,1
25712,63,2,210.183,0
35663,27,1,0,1
36093,41,1,0,1
27628,38,2,0,1
27204,24,1,0,1
38902,51,1,0,0
28192,36,1,0,0
43896,52,2,0,1
39220,46,2,0,0
43937,26,1,0,1
25037,33,1,0,0
36216,42,1,0,1
37104,74,1,0,1
34133,40,1,0,1
34941,41,2,0,1
36895,67,3,218.833,1
36695,71,1,98.45,0
38914,22,1,0,0
29331,79,1,240.867,0
43714,25,1,0,0
39230,70,1,0,0
36700,62,1,0,1
36537,59,2,0,1
38917,24,1,0,1
38630,20,1,0,0
36288,47,1,24.9167,1
43509,19,1,0,0
36185,25,1,0,0
34539,36,1,7.73333,0
30659,88,2,0,1
31989,41,1,0,0
44266,42,1,0,1
40972,21,1,0,1
28633,52,2,0,1
44247,24,2,0,0
40748,26,2,0,1
43723,33,1,0,0
28105,79,1,4.58333,1
35734,51,2,768.667,0
42572,34,5,0,1
43252,52,1,0,1
38710,30,1,0,1
35671,29,1,0,0
41269,51,2,12.9,1
33162,64,3,0,1
41027,46,3,0,1
27423,70,1,0,1
44013,72,2,0,1
29530,60,1,0,1
43814,58,1,0,1
36825,57,1,3.21667,1
40479,60,1,0,1
35983,93,3,73.6667,1
36486,69,1,0,1
27427,67,1,0,0
33144,76,3,256.183,0
29162,23,2,0,1
25039,73,1,0,0
31726,93,1,0,1
38907,50,1,0,1
34830,18,1,0,0
43748,25,1,0,1
39221,74,1,0,1
43719,29,1,0,1
39324,45,2,0,0
32650,23,1,0,0
28115,59,1,122.4,1
43938,26,1,91.85,1
44022,80,1,77.6,0
36693,67,1,0,0
29486,22,1,0,1
43943,74,1,0,1
26676,57,1,7.25,1
29477,70,1,0,1
36799,30,6,3.38333,0
36902,84,1,0,1
38915,92,1,0,1
30609,78,2,0,1
36266,65,2,0,0
44209,34,1,53.15,1
29848,58,2,0,0
35173,65,1,0,1
26886,23,1,0,0
36655,20,1,0,1
39138,23,1,0,1
36821,49,2,15.45,1
33163,60,1,0,1
29601,71,1,0,1
31506,73,1,0,1
31867,55,2,0,0
37109,73,1,2.66667,0
33653,74,1,3.51667,1
42128,44,1,0,0
34647,22,3,0,0
36709,18,1,0,0
34948,57,1,0,1
38929,60,1,0,1
43794,59,1,0,1
36667,85,2,129.15,1
35040,88,1,25.6833,1
43260,75,2,0,1
25432,28,1,0,0
44174,54,1,0,1
33155,38,1,0,1
37399,83,1,0,1
36922,65,1,0,1
38941,46,2,0,0
43932,85,1,13.2667,1
32385,83,1,183.117,1
25033,32,1,0,1
26604,36,1,0,1
34248,25,1,159.967,0
36795,41,1,0,0
44358,69,1,0,1
36878,45,1,0,0
40204,61,1,0,1
43658,33,1,0,1
28429,56,1,0,1
33664,36,3,0,1
37221,54,1,0,0
42203,70,1,0,1
28029,38,1,3.51667,0
43715,61,3,383.733,0
43914,63,1,0,1
36701,72,2,50.7833,0
36803,84,3,0,0
36905,66,1,0,1
41672,29,1,0,1
34022,22,5,0,0
39133,76,1,223.867,1
39327,69,2,2.75,1
27738,55,1,146.15,1
36984,65,1,119.4,1
30519,27,2,0,1
44910,72,3,216.767,1
26438,67,1,0,0
37076,64,1,0,1
30120,37,1,0,0
44066,70,1,0,0
33790,84,2,286.367,1
41291,56,1,0,1
36816,83,2,0,1
36919,65,2,111.283,1
38932,84,1,27.9667,0
37122,68,2,2.25,0
41350,27,1,0,1
32904,26,1,0,0
30048,44,1,313,1
36826,70,4,1085.68,1
28285,63,2,32.6833,0
31444,79,1,7.91667,1
44014,50,1,5.68333,1
36829,25,1,0,1
39551,58,1,0,1
38942,83,2,0,1
36723,20,1,102.917,1
36926,20,1,0,0
28238,83,2,3.68333,1
43744,72,1,332.25,1
36726,59,1,536.633,1
36837,66,1,0,0
39218,21,1,999.567,1
32428,73,1,125.967,1
29800,74,1,119.867,1
28288,81,1,87.5,1
38908,83,2,0,1
37105,78,1,2.48333,1
36282,32,1,0,0
41633,22,1,1076.52,0
28398,31,1,0,1
27819,30,1,0,1
43716,27,1,0,1
25849,24,1,0,1
33146,34,1,186.9,1
43915,27,1,0,1
32610,66,2,0,1
36066,43,1,0,1
39876,82,1,625.817,0
31634,26,1,18.6833,0
29145,71,1,28.3167,1
38916,83,1,16.3833,1
37111,46,2,617.45,0
44275,45,1,24.4833,1
38919,62,1,2,0
37114,29,1,6.63333,1
27831,90,1,0,1
42527,57,5,0,0
44194,79,1,124.817,1
36909,42,1,0,1
41592,76,4,55.1,1
38928,38,2,0,1
38281,22,1,18.6333,0
32101,76,2,0,1
43344,48,1,2176.63,1
31868,59,2,0,1
36910,54,2,3.53333,1
38924,88,1,3.08333,1
42210,66,1,435.05,1
27722,46,1,0,0
26643,81,2,0,1
38943,76,2,186.517,1
43735,68,1,177.25,1
35860,76,1,311.733,1
39217,29,2,36.8,1
26064,68,1,0,0
31269,37,1,0,0
35195,46,1,94.8167,1
44779,72,1,68.7,1
44001,67,2,513.683,1
43855,82,1,94.55,1
39328,60,2,0,1
25239,49,1,75.8833,0
43666,74,2,450.05,0
43717,76,1,0,1
35140,63,2,0,1
44006,55,2,0,1
43916,32,1,0,1
37108,56,1,7.76667,0
25468,79,2,0,1
39329,36,1,0,0
44585,38,1,0,1
32489,43,1,0,1
27422,59,1,13.6833,1
36804,39,1,0,1
39686,79,1,203.733,1
36596,70,3,0,1
35679,38,3,0,0
36006,25,2,24.1833,1
32503,34,2,0,0
37681,74,1,0,1
